Unique_ID,Date,TL,H_L_Ratio,Sex,Nesting_Season,Breading_season,Breading_size,Class,Lat,Long
42,6/18/2024,41,1.77,M,Y,N,N,Juvenile,30.32394911,-90.52236502
43,6/22/2024,85,1.19,M,Y,N,N,Juvenile,30.29460747,-90.56169309
44,6/22/2024,76,1.18,F,Y,N,N,Juvenile,30.29701801,-90.57346723
45,6/22/2024,123,1.65,F,Y,N,N,Juvenile,30.28119123,-90.57468106
46,6/29/2024,145,1.16,F,Y,N,N,Juvenile,30.21186017,-90.59370688
47,6/29/2024,45,1.24,M,Y,N,N,Juvenile,30.20859653,-90.59611014
48,6/29/2024,48,1.22,M,Y,N,N,Juvenile,30.2032558,-90.60040168
49,6/29/2024,34,1.37,F,Y,N,N,Juvenile,30.19153484,-90.60057334
50,7/1/2024,71,1.19,M,Y,N,N,Juvenile,30.1741734,-90.57139091
51,7/1/2024,78,2.21,M,Y,N,N,Juvenile,30.16838557,-90.54890327
52,7/7/2024,23,1.16,F,Y,N,N,Hatchling,30.15131691,-90.54755747
53,7/7/2024,25,1.99,F,Y,N,N,Hatchling,30.16029688,-90.56060373
54,7/7/2024,134,1.17,F,Y,N,N,Juvenile,30.16764351,-90.52549898
55,7/7/2024,191,1.18,F,Y,N,Y,Adult,30.15703153,-90.52773058
56,7/7/2024,22,1.22,F,Y,N,N,Hatchling,30.16497207,-90.51434099
57,7/7/2024,25,1.24,M,Y,N,N,Hatchling,30.17877374,-90.4805237
58,7/18/2024,23,1.23,M,Y,N,N,Hatchling,30.18434066,-90.46750275
59,7/18/2024,152,3.21,F,Y,N,N,Juvenile,30.18601944,-90.46483232
60,7/18/2024,140,1.43,F,Y,N,N,Juvenile,30.20847043,-90.44528967
61,7/22/2024,90,1.33,M,Y,N,N,Juvenile,30.32189187,-90.52809347
62,7/28/2024,47,3.5,F,Y,N,N,Juvenile,30.34123916,-90.50992529
63,7/28/2024,30,1.45,F,Y,N,N,Hatchling,30.34572388,-90.50949224
64,8/3/2024,68,5.54,M,N,N,N,Juvenile,30.34357498,-90.49155682
65,8/3/2024,191,3.12,M,N,N,Y,Adult,30.34331803,-90.4721205
66,8/3/2024,37,3.4,M,N,N,N,Juvenile,30.3404216,-90.46959439
67,8/3/2024,76,1.47,M,N,N,N,Juvenile,30.33805457,-90.47042439
68,8/8/2024,180,2.55,M,N,N,N,Juvenile,30.33596779,-90.46750132
69,8/8/2024,145,3.34,F,N,N,N,Juvenile,30.33223017,-90.45772165
70,8/8/2024,45,1.54,F,N,N,N,Juvenile,30.32802518,-90.44711196
71,8/16/2024,48,2.46,F,N,N,N,Juvenile,30.27556245,-90.4013647
72,8/16/2024,34,1.54,M,N,N,N,Juvenile,30.27219653,-90.40100383
73,8/16/2024,71,1.29,F,N,N,N,Juvenile,30.25246616,-90.42684237
74,8/16/2024,63,4.14,M,N,N,N,Juvenile,30.25206091,-90.42644541
75,8/24/2024,39,1.57,F,N,N,N,Juvenile,30.22478796,-90.57315308
76,8/24/2024,99,3.57,F,N,N,N,Juvenile,30.2290893,-90.57341057
77,8/29/2024,134,1.34,M,N,N,N,Juvenile,30.30465871,-90.56084245
78,8/29/2024,179,1.32,F,N,N,N,Juvenile,30.30048668,-90.5607067
79,8/29/2024,68,2.87,F,N,N,N,Juvenile,30.3167576,-90.52941747
80,9/4/2024,47,1.32,M,N,N,N,Juvenile,30.28957729,-90.40727288
81,9/4/2024,29,1.23,M,N,N,N,Hatchling,30.29200781,-90.41109814
82,9/11/2024,23,1.25,M,N,N,N,Hatchling,30.19855122,-90.60157467
83,9/11/2024,28,1.27,M,N,N,N,Hatchling,30.19586053,-90.60126846
84,9/11/2024,161,1.24,F,N,N,N,Juvenile,30.19087593,-90.59894635
85,9/20/2024,39,1.17,F,N,N,N,Juvenile,30.20596189,-90.43098694
86,9/20/2024,41,1.21,F,N,N,N,Juvenile,30.21059784,-90.43105132
87,9/20/2024,56,1.22,M,N,N,N,Juvenile,30.20887329,-90.42422778
88,9/28/2024,75,1.19,F,N,N,N,Juvenile,30.21348494,-90.42080554
89,9/28/2024,64,3.14,M,N,N,N,Juvenile,30.2154144,-90.41866206
90,9/28/2024,36,2.09,F,N,N,N,Juvenile,30.21958191,-90.42302557
91,9/28/2024,78,1.22,F,N,N,N,Juvenile,30.22420124,-90.42275764
92,10/2/2024,159,1.22,M,N,N,N,Juvenile,30.23594153,-90.41030504
93,10/2/2024,167,1.73,M,N,N,N,Juvenile,30.22728254,-90.42202183
94,10/2/2024,87,2.18,F,N,N,N,Juvenile,30.2256788,-90.42423197
95,10/10/2024,47,1.18,M,N,N,N,Juvenile,30.24268862,-90.42716598
96,10/10/2024,35,1.32,F,N,N,N,Juvenile,30.24519045,-90.42722913
97,10/10/2024,68,1.26,F,N,N,N,Juvenile,30.24623481,-90.42676902
98,10/21/2024,60,1.21,M,N,N,N,Juvenile,30.31160305,-90.41008423
99,10/21/2024,65,2.1,M,N,N,N,Juvenile,30.31183987,-90.40951646
100,10/21/2024,87,1.23,F,N,N,N,Juvenile,30.31129464,-90.40990242
